Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Mark
1435524.198,1297.37,14608.91,14631.18,14626.07,14614.93,-4502.31,9424.37,4444.9,3240.61,7724.21,1069.35,14624.86,3029.33,14628.17,4780.06,2265.5,6959.28,2404.9,6171.87,5070.47,0,2.41,-2.41,-8.13,0
1435524.201,14381.99,12262.5,12416.43,15066.04,13336.13,12748.18,17034.37,11847.97,11637.01,12413.14,11037.68,13156.22,10916.86,13369.87,8811.73,10993.38,12152.34,10393.57,11139.03,-1008.99,0,2.71,-3.01,-8.43,0
1435524.204,8008.48,-9385.41,-9407.69,-5776.01,-9391.43,10265.97,2025.53,4202.25,5331.01,1465,6940.32,-9395.36,5065.67,-5575.97,443.74,5884.01,2115.54,5381.88,2161.8,-8153.29,0,2.41,-2.71,-8.13,0
1435524.208,-8269.32,-18121.3,-18043.76,-17515.85,-18127.32,-2692.93,-14032.95,-7088.76,-6237.65,-9298.42,-4750.06,-18049.52,-5792.74,-14579.95,-8292.15,-5191.55,-8642.89,-4964.35,-7624.63,-1558.08,0,2.11,-3.01,-8.43,0
1435524.211,-12060.98,260.29,50.03,-3254.95,-947.9,-12584.02,-9786.32,-6486.46,-6928.61,-4889.89,-7239.17,-449.51,-6525.77,-1490.46,-4469.81,-6460.33,-5115.69,-6031.55,-4579.46,5350.61,0,3.01,-2.41,-8.13,0
1435524.214,952.54,14507.91,14530.18,14525.07,14513.93,-4853.61,9238.75,4458.02,3230.85,7926.65,1506.05,14523.86,3037.47,14527.17,4679.06,2502.83,7049.65,2581.14,6421.45,5171.47,0,2.41,-2.71,-8.13,0
1435524.218,14167.03,12311.77,12585.39,15038.71,13491.66,12361.3,17136.53,11927.59,11747.82,12647.42,11450.05,13167.96,11069.88,13849.26,8848.41,11322.33,12360.95,10645.68,11484.83,-972.32,0,2.71,-2.71,-8.43,0
1435524.221,7840.7,-9369.13,-9391.4,-6022.65,-9375.15,10282.26,2178.47,4320.65,5396.83,1548.46,7201.87,-9385.08,5119.14,-5267.85,460.03,6171.5,2171.3,5498.68,2348.72,-8099.84,0,2.41,-3.01,-8.43,0
1435524.224,-8479.97,-18125.35,-18125.67,-17829.1,-18131.37,-3269.82,-14030.12,-7240.57,-6543.34,-9596.01,-4897.47,-18141.3,-6140.69,-14696.4,-8296.19,-5294.02,-8905.29,-5147.82,-7841.97,-1554.03,0,2.71,-2.71,-8.43,0
1435524.228,-12671.94,9.31,-486.46,-4522.26,-1450.24,-12980.52,-10247.99,-7347.36,-7826.84,-5848.41,-8147.31,-1236.55,-7348.43,-2377.54,-4496.72,-7372.17,-6039.04,-6843.07,-5394.95,5323.71,0,2.41,-2.71,-7.83,0
1435524.231,-29.21,14491.28,14513.55,14508.43,14497.3,-5160.11,8330.45,2943.39,1634.85,6294.76,-154.64,14507.23,1582.53,14341.03,4662.42,841.83,5442.26,1005.48,4825.25,5188.1,0,3.01,-2.41,-8.13,0
1435524.234,13221.11,12177.63,11837.09,13801.6,12986.48,10740.12,16110.17,10168.29,9961.01,10746.35,9427.28,12271.41,9394.04,11928.14,8822.56,9309.27,10432.46,8844.46,9607.83,-998.17,0,2.41,-2.71,-7.83,0
1435524.238,7524.2,-9422.28,-9444.55,-7114.28,-9428.3,10229.11,1553.01,2940.08,3907.78,-58.18,5385.34,-9438.23,3782.7,-6984.24,406.88,4365.03,481.33,4023.62,734.03,-8114.93,0,2.71,-2.41,-8.13,0
1435524.241,-8570.45,-18150.97,-18173.25,-18123.96,-18156.99,-3438.13,-14423.24,-8123.61,-7348.14,-10519.06,-6067.02,-18166.93,-6808.86,-15758.62,-8321.82,-6461.94,-9927.23,-6057.68,-8735.18,-1528.41,0,3.01,-2.71,-8.43,0
1435524.244,-12216.5,100.32,-618.73,-4153.6,-1520.9,-12901.32,-10286.41,-7391.29,-7840.47,-6002.14,-8388.37,-1141.65,-7383.43,-2604.17,-4579.99,-7614.37,-6215.61,-7045.16,-5537.7,5240.44,0,2.41,-2.41,-8.43,0
