Key,KeyID,HitPointLocal,KeyGroundTruthLocal
q,17,(-1.537443 0.01112401),(-1.583251 0.01100019)
q,17,(-1.539538 0.01143231),(-1.58325 0.01100004)
q,17,(-1.542535 0.01093909),(-1.583251 0.01100023)
q,17,(-1.537985 0.01054283),(-1.583251 0.01100028)
q,17,(-1.536199 0.01114692),(-1.58325 0.01099985)
q,17,(-1.533864 0.01213104),(-1.583251 0.01100004)
q,17,(-1.531378 0.0134647),(-1.583251 0.01100041)
q,17,(-1.525215 0.01626794),(-1.58325 0.01099977)
q,17,(-1.519121 0.01865086),(-1.583251 0.0109999)
q,17,(-1.516044 0.0206993),(-1.58325 0.01100013)
q,17,(-1.513596 0.02125804),(-1.583251 0.01099991)
q,17,(-1.5057 0.02489885),(-1.583251 0.01100009)
q,17,(-1.478276 0.03113993),(-1.58325 0.01100013)
q,17,(-1.47158 0.03402881),(-1.583251 0.01100014)
q,17,(-1.475705 0.03659324),(-1.58325 0.011)
q,17,(-1.462658 0.04210982),(-1.58325 0.01100013)
q,17,(-1.450693 0.04597133),(-1.58325 0.01100019)
q,17,(-1.445378 0.04692082),(-1.58325 0.01100019)
q,17,(-1.443271 0.04666381),(-1.58325 0.01100019)
q,17,(-1.448293 0.04031857),(-1.58325 0.01100019)
q,17,(-1.454637 0.03827359),(-1.58325 0.01100019)
q,17,(-1.455498 0.03768618),(-1.58325 0.01100019)
q,17,(-1.453111 0.03638172),(-1.58325 0.01100019)
q,17,(-1.452471 0.03486788),(-1.58325 0.01100019)
q,17,(-1.45052 0.03250559),(-1.58325 0.01100019)
q,17,(-1.448035 0.03173712),(-1.58325 0.01100019)
q,17,(-1.445505 0.03044409),(-1.58325 0.01100019)
q,17,(-1.442689 0.0293629),(-1.58325 0.01100019)
q,17,(-1.44249 0.02840165),(-1.58325 0.01100019)
q,17,(-1.441701 0.02754859),(-1.58325 0.01100019)
q,17,(-1.441858 0.02739517),(-1.58325 0.01100019)
q,17,(-1.442842 0.02735786),(-1.58325 0.01100019)
q,17,(-1.443949 0.02778312),(-1.58325 0.01100019)
q,17,(-1.444702 0.02982458),(-1.58325 0.01100019)
q,17,(-1.445825 0.03150452),(-1.58325 0.01100019)
q,17,(-1.446458 0.03348417),(-1.58325 0.01100019)
q,17,(-1.447787 0.03615516),(-1.58325 0.01100019)
q,17,(-1.44434 0.03953237),(-1.58325 0.01100019)
w,23,(-1.272463 0.06277148),(-1.23325 0.01099994)
w,23,(-1.170162 0.07531964),(-1.23325 0.01099994)
w,23,(-1.138043 0.07919773),(-1.23325 0.01099994)
w,23,(-1.113792 0.08254017),(-1.23325 0.01099994)
w,23,(-1.106843 0.0832193),(-1.23325 0.01099994)
w,23,(-1.104013 0.08223233),(-1.23325 0.01099994)
w,23,(-1.098141 0.08268945),(-1.23325 0.01099994)
e,5,(-1.021909 0.09336209),(-0.8832493 0.01100026)
e,5,(-1.019114 0.09369094),(-0.8832493 0.01100026)
e,5,(-1.01888 0.09269942),(-0.8832493 0.01100026)
e,5,(-1.014826 0.09301843),(-0.8832493 0.01100026)
e,5,(-1.011332 0.09290925),(-0.8832493 0.01100026)
e,5,(-1.009513 0.09245157),(-0.8832493 0.01100026)
e,5,(-1.011304 0.09230854),(-0.8832493 0.01100026)
e,5,(-1.018381 0.08983508),(-0.8832493 0.01100026)
e,5,(-1.020577 0.08891601),(-0.8832493 0.01100026)
e,5,(-1.015759 0.08916363),(-0.8832493 0.01100026)
e,5,(-1.010728 0.08796507),(-0.8832493 0.01100026)
e,5,(-1.016124 0.08447383),(-0.8832493 0.01100026)
e,5,(-1.016099 0.08334439),(-0.8832493 0.01100026)
e,5,(-0.9886107 0.08236631),(-0.8832493 0.01100026)
e,5,(-0.9290797 0.08163106),(-0.8832493 0.01100026)
e,5,(-0.865656 0.08050244),(-0.8832493 0.01100026)
e,5,(-0.8091986 0.07541166),(-0.8832493 0.01100026)
e,5,(-0.7852011 0.07068905),(-0.8832493 0.01100026)
e,5,(-0.7769488 0.06570835),(-0.8832493 0.01100026)
