Start,End,Mark
61253.643695733335,61253.81036240001,1
61253.81369573333,61253.8503624,0
61253.853695733334,61254.20702906667,1
61254.2103624,61254.2403624,0
61254.243695733334,61256.36702906667,2
61256.370362400005,61258.74702906667,0
61258.7503624,61258.75702906667,2
61258.760362400004,61258.77369573334,0
61258.77702906667,61259.173695733334,1
61259.17702906667,61259.19702906667,0
61259.200362400006,61259.823695733336,1
61259.82702906667,61259.86702906667,0
61259.870362400005,61260.12702906667,2
61260.13036240001,61260.17702906667,0
61260.1803624,61261.93702906667,2
61261.940362400004,61261.993695733334,0
61261.99702906667,61262.340362400006,2
61262.34369573334,61262.550362400005,0
61262.55369573334,61262.77369573334,2
61262.77702906667,61262.823695733336,0
61262.82702906667,61263.003695733336,1
61263.00702906667,61263.02369573334,0
61263.02702906667,61266.103695733334,2
61266.10702906667,61268.17702906667,0
61268.1803624,61268.76702906667,2
61268.770362400006,61268.7903624,0
61268.79369573334,61269.2903624,1
61269.29369573334,61269.33702906667,0
61269.340362400006,61269.6503624,1
61269.65369573334,61269.6803624,0
61269.683695733336,61269.90702906667,2
61269.910362400005,61269.96702906667,0
61269.9703624,61270.190362400004,1
61270.19369573334,61270.200362400006,0
61270.20369573334,61271.853695733334,2
61271.85702906667,61274.26702906667,0
61274.270362400006,61275.33369573334,2
61275.33702906667,61275.37702906667,0
61275.38036240001,61275.59369573334,2
61275.597029066674,61275.643695733335,0
61275.64702906667,61276.22369573334,2
61276.22702906667,61276.253695733336,0
61276.25702906667,61276.38036240001,1
61276.38369573333,61277.22369573334,0
61277.22702906667,61279.76369573334,1
61279.76702906667,61279.8503624,0
61279.853695733334,61279.8603624,2
61279.86369573334,61279.87369573334,0
61279.87702906667,61280.60702906667,1
61280.6103624,61282.99702906667,0
61283.0003624,61283.830362400004,2
61283.83369573334,61283.88036240001,0
61283.88369573333,61284.3603624,2
61284.36369573334,61284.39702906667,0
61284.4003624,61284.56036240001,1
61284.56369573333,61284.58702906667,0
61284.590362400006,61284.96702906667,2
61284.9703624,61287.28314017778,0
61287.286473511114,61287.31314017778,1
61287.31647351111,61287.33314017778,0
61287.33647351112,61287.53314017778,1
61287.536473511114,61287.56647351111,0
61287.56980684445,61288.53980684445,2
61288.54314017778,61288.59314017778,0
61288.59647351111,61288.86314017778,2
61288.866473511116,61288.92314017778,0
61288.926473511114,61289.64314017778,1
61289.646473511115,61289.67314017778,0
61289.676473511114,61290.57980684445,2
61290.58314017778,61290.76314017778,0
61290.76647351112,61291.269806844444,1
61291.27314017778,61291.553140177784,0
61291.55647351111,61292.06980684445,2
61292.07314017778,61292.106473511114,0
61292.13980684445,61292.46314017778,2
61292.466473511115,61292.489806844445,0
61292.49314017778,61293.08980684445,1
61293.09314017778,61293.129806844445,0
61293.13314017778,61293.90980684445,1
61293.91314017778,61293.93980684445,0
61293.943140177784,61294.02647351111,1
61294.029806844446,61294.036473511114,0
61294.03980684445,61294.05647351111,1
61294.059806844445,61294.116473511116,0
61294.11980684445,61294.176473511114,2
61294.17980684445,61296.896473511115,0
61296.89980684445,61297.856473511114,1
61297.85980684445,61297.90647351112,0
61297.90980684445,61298.45314017778,2
61297.90980684445,61298.45314017778,2
61298.45647351111,61298.52314017778,0
61298.52647351111,61298.53314017778,1
61298.536473511114,61298.54314017778,0
61298.546473511116,61298.616473511116,2
61314.803140177784,61314.83647351112,0
61314.83980684445,61315.15314017778,2
61315.15647351112,61315.176473511114,0
61315.17980684445,61315.77314017778,1
61315.77647351111,61316.02314017778,0
61316.02647351111,61317.63314017778,1
61317.63647351111,61323.78591795556,0
61323.789251288894,61323.79258462223,1
61323.79591795556,61327.44258462222,0
61327.445917955556,61327.66925128889,1
61327.672584622225,61327.702584622224,0
61327.70591795556,61328.632584622224,2
61328.63591795556,61328.68258462223,0
61328.68591795556,61328.87925128889,2
61328.882584622224,61328.939251288895,0
61328.94258462222,61331.97258462223,2
61331.97591795556,61335.01925128889,0
61335.022584622224,61335.03591795556,2
61335.039251288894,61335.049251288896,0
61335.05258462222,61335.08925128889,1
61335.09258462222,61335.09925128889,0
61335.102584622226,61335.11591795556,1
61335.119251288896,61335.16591795556,0
61335.16925128889,61336.22591795556,1
61336.22925128889,61336.299251288896,0
61336.30258462222,61336.30591795556,2
