Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24
657.637128,-713.9289515717727,-126.603967086192,-89.81801374224294,14.763125779407025,-112.30145462906016,-117.44956191037002,-207.0656913871081,-840.0027947473661,-109.788062765474,-94.59532981746631,-144.7115059342803,-84.01610477185385,-80.90346638057343,-109.02927882916359,-82.86555194805116,-85.43017578890841,-94.61105438884454,-102.20785751362286,-96.62239066251968,4583.58473355801,0.0,0.07102188444545421,-0.018880715425630044,0.05224951445298586
657.6404613333333,-692.3801237064376,-106.21876266805143,-68.14503455181928,35.41266238757052,-95.3105737999233,-97.87920750523328,-179.38145121442182,-817.0325951657601,-87.07811613141843,-73.65805098950396,-124.16348112747998,-64.65277318402212,-60.900746176613396,-88.37236028114647,-61.230424169183365,-64.33052894764883,-73.74731003257577,-80.72112429229583,-75.2081726044265,4608.505626375908,0.0,0.08697710593546087,-0.014401534931340823,0.07030935564434068
657.6437946666666,-675.2995879105423,-90.4965838104631,-51.89252084108963,51.36242274373674,-82.89061039838757,-83.17920674399431,-156.42477301839574,-799.4786380452226,-69.91576501096182,-57.93148592337894,-110.0786517828686,-50.51542492059961,-45.974912530540934,-73.0646999452324,-45.01584139081489,-48.84366700774881,-58.8227884200763,-64.63311527548237,-59.35530164726544,4634.150079505131,0.0,0.1030421572829809,-0.026157429597661343,0.10612041109660532
657.647128,-694.2851580041174,-110.28537379352443,-71.96503966102637,31.331762833326582,-105.32491749550522,-104.23400337489942,-169.81237701852942,-818.245713584709,-89.59055631468043,-78.28925178850352,-133.41266064090198,-72.24413009685823,-66.96677739977395,-93.92252457199564,-65.1263660204386,-69.89145183542179,-80.76513256002559,-85.01658245427835,-79.92407885822443,4680.585058311755,0.0,0.11778759299402573,-0.050677670093205215,0.14578023182096317
657.6504613333333,-758.8330540107967,-174.79024841265388,-137.58647035731727,-34.12091584777771,-171.54674444235766,-170.1908211006369,-229.38797062055085,-882.5577162445825,-155.35885523642898,-143.86669353913368,-202.9794335781249,-138.80315972379873,-132.8570212743996,-160.0208865118203,-130.78585737643056,-136.55157884458052,-148.59305506026504,-151.1201050440192,-145.98898527425249,4748.424507617274,0.0,0.12949049480818875,-0.08231538195376917,0.17467524134213924
657.6537946666666,-830.301334375893,-245.46426407396547,-210.1718956035422,-106.41519743876032,-243.04799213709472,-242.3549194099995,-296.8808033050512,-953.829537568138,-228.33424693097808,-215.9715247141674,-279.3622889766432,-211.406038328393,-204.69171021430367,-232.6047510703826,-203.40935791224655,-209.96758858561057,-223.32572145614648,-224.23514523141154,-218.72473281729407,4797.306019736599,0.0,0.13688476487190004,-0.11480998720897201,0.18416779797930255
657.657128,-847.4387724523319,-261.40858381024975,-228.70260305945436,-124.41542305616437,-259.22320485378356,-259.63356750424316,-311.2421235605833,-971.0421334423735,-247.0272214931909,-233.52695161530784,-300.51909414948955,-228.96738170650127,-221.1630609094908,-250.5595770627665,-221.97809298277932,-228.82436037992107,-243.4833743730595,-243.13963864345453,-236.8858835053539,4768.237313012591,0.0,0.13958960975244789,-0.14316974668635205,0.17486294859272125
657.6604613333333,-782.5283174356567,-195.35591793420804,-165.7129167480216,-60.55653118235192,-193.23164684927286,-194.58264586368645,-244.76211020463126,-906.7294589605474,-183.5450086125894,-169.11553558295896,-238.09669988428544,-164.15162981090543,-154.82978810671926,-186.48869357535614,-159.02630972885828,-165.44763121234462,-181.229988071111,-180.18114032029388,-172.93563286578336,4640.00559768421,0.0,0.13793616832132738,-0.1651107601604236,0.15505523226833165
657.6637946666666,-672.3541005589689,-84.48245393350962,-58.140346256847685,48.24316370452982,-82.63265407130905,-84.27469409576055,-134.12207157443993,-797.8287175185123,-74.59450339963384,-59.84758849033447,-128.55373902558682,-54.222859631336185,-43.06055592474171,-77.56929832299873,-51.491444950595984,-56.72784714034491,-73.33672110600465,-72.19917647837127,-63.9754243441502,4467.499381463035,0.0,0.13260189856708646,-0.18128529607893523,0.13577904398888213
657.6671279999999,-593.0263547442967,-5.136330799223453,17.89667206371363,125.84812215794712,-3.940701497044457,-5.056132380396125,-55.33380313992083,-720.4581716439147,3.7023060912720327,17.891180263475857,-48.04796854515655,24.26152043817822,37.3122647078873,-0.22553573687704942,24.508108900405343,21.093947772020627,4.0166589104936055,4.67517293438636,13.522454651472998,4354.402205570732,0.0,0.12456764731722697,-0.19397718292615998,0.12559976480454021
