absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText,eyeTrackingStatus,DesignMatrixCondition
61225.2009049,75.55881,0.0111277,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.2122664,75.57,0.011195,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.223779,75.58146,0.0114568,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.2344035,75.59238,0.0109241,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.2458545,75.60357,0.0111873,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.2613898,75.61932,0.0157446,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.2730655,75.63049,0.0111732,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.2833274,75.64079,0.0103046,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.2938962,75.65192,0.0111264,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.3055236,75.66299,0.0110728,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.3168762,75.67478,0.0117881,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.3279559,75.68568,0.0109048,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.3386974,75.6967,0.0110166,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.3501698,75.70787,0.0111692,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.3612064,75.71903,0.0111624,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.3729705,75.73066,0.0116301,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.3840945,75.74156,0.0108955,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.395883,75.7533,0.0117427,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.4068996,75.76391,0.0106045,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.4175736,75.77503,0.0111237,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.4293213,75.78671,0.0116826,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.4400922,75.79747,0.0107573,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.450831,75.80812,0.0106534,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.4636294,75.82072,0.0125947,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
